OPERADOR,SERVICIO,MODALIDAD,LOCALIDAD,INDICATIVO,BLOQUE,RESOLUCION,FECHA
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6897,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6948,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6908,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,CORDOBA,351,364,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6919,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6915,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,LA PLATA,221,602,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,CORDOBA,351,362,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,CORDOBA,351,360,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,ORAN,3878,552,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,ORAN,3878,556,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,LA PLATA,221,601,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,CORDOBA,351,363,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6904,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6899,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,CORDOBA,351,366,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,BAHIA BLANCA,291,462,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,CORDOBA,351,365,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6905,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,LA RIOJA,380,4327,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,BAHIA BLANCA,291,461,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,LA RIOJA,380,4328,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,MAR DEL PLATA,223,578,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,LA RIOJA,380,4326,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,CORDOBA,351,368,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6944,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6952,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,LA DULCE,2264,404,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6942,SC 125/07,39282
